UAV ID,Ture ID,Predict ID,Distance
470,119,120,23.23335393176571
471,120,119,24.89114336595046
472,120,120,25.95528806517908
473,120,120,24.548509485866926
474,120,120,25.424801384933136
475,121,121,24.38355167894425
476,121,121,25.64131555350253
477,121,123,24.88098755966485
478,121,122,25.973349413070995
479,122,123,24.736935768071056
480,122,122,24.904466497358786
481,122,123,24.005359533809294
482,122,123,23.137423249319504
483,123,124,25.367698464800302
484,123,122,23.27801260497457
485,123,124,24.011753694277523
486,123,124,22.471417827344744
487,124,124,22.77244537287876
488,124,124,23.56576440247877
489,124,125,20.08798964723596
490,124,125,22.002384562628574
491,125,125,22.280859973849285
492,125,125,21.06941309076573
493,125,125,21.212702867474558
494,125,125,21.648556679497958
495,126,126,20.2032245632807
496,126,126,19.82205902861004
497,126,125,20.781903744334397
498,126,127,19.827953256335324
499,127,127,19.077325974150426
500,127,127,18.354160750113287
501,127,127,19.25525774540894
502,127,128,18.992632056328212
503,128,128,17.7942834426589
504,128,128,17.580473854999745
505,128,128,18.703027369957507
506,128,128,19.06857523407196
507,129,129,17.10179753500626
508,129,129,17.159812168569125
509,129,129,16.575323586171823
510,130,130,14.83602255632384
511,130,130,16.35852440219981
512,130,130,16.06261842686091
513,130,130,15.661992044827887
514,131,131,16.418914604511393
515,131,130,15.43236213723436
516,131,131,15.484556361739525
517,131,131,14.801644925095808
518,132,131,15.29810611558423
519,132,132,15.452130901835952
520,132,131,14.729616558240902
521,132,132,14.048705169683805
522,133,132,13.918181538260061
523,133,132,14.221549212117147
524,133,133,13.775373432619785
525,133,133,13.285538754628675
526,134,133,12.98979109959491
527,134,134,13.129585858174368
528,134,134,12.555864009943699
529,134,134,12.40591689836773
530,135,135,13.240928890126183
531,135,135,12.058021069532716
532,135,135,11.810949859051323
533,135,135,11.775679067740278
534,136,135,10.229278184807702
535,136,136,11.776268237296849
536,136,136,11.69931305805909
537,137,136,11.171293525406291
538,137,137,12.691851033752071
539,137,136,11.482594034116824
540,137,137,11.368225933642588
541,138,137,10.469039966531616
542,138,137,11.000177954535124
543,138,138,11.19913656876019
544,138,138,11.4578573697039
545,139,138,11.104894464965962
546,139,138,10.611314640891447
547,139,138,9.625479785233505
548,139,138,9.019953834734498
549,140,139,9.87957054811046
550,140,140,10.960953606999011
551,140,139,10.705632305855875
552,140,140,10.114123687290363
553,141,140,10.293543537767206
554,141,140,9.838983686457896
555,141,140,9.098165707114942
556,142,141,10.851482288501504
557,142,141,10.501667726733434
558,142,141,9.925911511824133
559,142,142,11.456808145955609
560,143,142,10.58045226246174
561,143,142,10.070655165411395
562,143,142,10.380411555095044
563,143,143,10.499348296527225
564,144,143,10.304510332360852
565,144,143,10.525251342789272
566,144,144,12.982886106996583
567,144,143,11.815924728174394
568,145,144,12.294281053024777
